CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Die Kraftwerksmeldeanlage erfasst alle sicherheitsrelevanten Meldungen und meldet der Zentralwarte (ZEW) eine Sammelstoerung und zeigt diese zudem auf dem lokalen Bedienpanel im KW an. Die Meldeanlage ist aus dem Baujahr des Kraftwerks und somit ca. 45 Jahre alt.

In der Folge einer Sickerwassermeldung kam es zu einem Kurzschluss in einem Melderelais. 
Das mechanische Bauteil (Relais) hat versagt, in der Folge zu einem Kurzschluss gefuehrt, durch den einzelne Kontakte des Relais verschmolzen sind (siehe Bild 1).

Der Kurzschluss hat zum Ausfall der Meldeanlage gefuehrt, der Ausfall der Meldeanlage wurde jedoch durch weitere UEberwachungssysteme von der ZEW umgehend identifiziert. Das Kraftwerk war zu keinem Zeitpunkt in einem kritischen Zustand, die Anlage war zu dem Zeitpunkt besetzt.",Process Safety,Relaisbrand im Schaltschrank,Non-Process Safety
"U4 FGD tripped at approx. 04:27hrs after the 3.3KV FSD feeding G swicthboard tripped. On investigation it was found that the trip was caused by a timed earth fault on the 415V board.
Unit had to be taken off load for environmental constraints for SO2. MEL'd to zero from 05:02 currently until 12:00hrs 13/07",Process Safety,Operational Loss,Non-Process Safety
"On run up this morning the steam turbine tripped at 44Hz due to low reheat steam temperature. Steam turbine had to slowed using the E shaft vac valve. On re run off the steam turbine program the step sequence faulted at step 18,This has led to believe to be the start up device. This is infact the steam turbine program looking for X5 which is lost, the Start up device appears to be a red herring. We found that even if the steam turbine is selected to fast from a trip it still looks for X5 positive which is not the same criteria of a HOF start. Hence the start up device is not the issue. Defects have been entered for the reheat thermocouples reading low.",Process Safety,Steam Turbine Trip on Run up,Non-Process Safety
"During a routine water treatment plant stream regeneration it was found that acid had leaked from the system into the acid bund. The process was immediately stopped, and isolation valves closed. The acid within the bund was fuming off at this point making it difficult to approach the area, but estimations of level was about 3-4mm. Personnel withdraw from the area and opened exterior doors to provide some ventilation.
Email sent to all members of staff advising of the situation and asking them to cascade this to their direct reports and contractors.
After some discussion on the way forward and a Dynamic risk assessment had been carried out, an Operation Technician donned suitable PPE and respirator and re-entered the WTP room and pumped out the bund into the main sump. The bund was then washed down and pumped into the main sump, ready to be sent to the neutralisation tank.
The cause of the leak is suspected to be vent from the double block and bleed valve. There was no evidence of wet on the motor support plate or surrounding pipework.",Process Safety,Acid leak in acid bund,Non-Process Safety
"Server 1 des BUB-Systems ist ausgefallen. Die UEbernahme der Funktion durch den redundanten Ersatzserver 2 dauerte ca. 15 Min.
In diesem Zeitfenster waren Teile der Anlage nicht bedienbar bzw. beobachtbar.
Nach 15 Min. hat der Server 2 die Funktionen des Server 1 uebernommen.
Es bestand keine Gefahr bzgl. Anlagen/ Prozesssicherheit da sich die technischen Anlagen ueber Ihre eigenen Steuerungssysteme schuetzen.",Process Safety,Ausfall eines red. Serverpaares,Non-Process Safety
"Tijdens een overdruk situatie in de ketel ,komen rookgassen uit de isolatie van de ketelwand.Verhoogde CO gemeten .",Process Safety,rookgas lekkage membraam wand 79 meter,Non-Process Safety
"Bei der Montage der Sammelschienenrohre im mittleren Bauabschnitt B2 kippte der ""Merlo"" - ein Radbagger - beim Schwenken seitlich ab und beschaedigte das Hypactmodul PA2 (ein Schaltelement der neuen Schaltanlage) und das Sammelschienenrohr. Personen kamen nicht zu Schaden.
Der Merlo war abgestuetzt, es lagen Lastverteilerplatten unter den Stuetzen.
Das Erdreich war durch den Dauerregen des vorangegangenen Wochenendes aufgeweicht.
Der Merlo konnte sich mit Unterstuetzung einer Baumaschine (Minibagger) selbstaendig aus der Schraeglage aufrichten.",Process Safety,Kippen eines Baggers,Non-Process Safety
"Van delivering to PES has struck the gate while it was opening causing damage to the gate, gate opening mechanism and site fence components",Process Safety,Damage to PES gate - Struck by Delivery Van,Non-Process Safety
"During trials to minimise NDZ time the condensate extraction pump tripped due to the condensate polishing plant not being correctly primed. The cause of this being defective valves. This delay, along with I bottle level control made the unit late for synchronisation",Process Safety,Late Synchronisation due to NDZ testing,Non-Process Safety
"Waehrens des Sturmes """"Eberhard"""" mit Boeen bis zur Windstaerke 12 haben sich Bohlen vom Haengegeruest zur Kaminkuerzung Block 2 geloest und sind bis auf hauseigenen Gleisen (ca. 150m) verweht worden.",Process Safety,Sturmschaden Kamin Block 2,Non-Process Safety
lekkage als gevolg van een defect / beschadigde compensator,Process Safety,houtstof lekkage bij compensator brander 32,Non-Process Safety
"Unit was on start up and load was approximately 50Mw, when Unit  tripped on Steam Turbine vibration. Potential of small loss of mass.",Process Safety,Unit 2 Trip due to blade snubber failure.,Non-Process Safety
hotspots kolenveld b1,Process Safety,Broei kolenvled B1,Non-Process Safety
"U4 PA master, sprays and firing control began to swing. PA master tripped to emergency manual, which tripped all mills and FD fans to emergency manual. Unit operator tripped E mill and Control Engineer manually increased load to prevent safety valves lifting. All controls returned to auto when unit settled down and limit put on PA master to prevent reoccurrence. Loss of 90mW for approx. 20 minutes",Process Safety,Operational Loss,Non-Process Safety
On a plant walkround of unit 7 the gland of the HP ISDSH control valve was found to have blown out.,Process Safety,HP ISDSH gland blown out,Non-Process Safety
An unused 'Boss' located on the North side of the HP Drum has a pin hole leak coming from a seal weld. Repair has been carried out on system.,Process Safety,Pin hole leak on Unit 3 HP Drum.,Non-Process Safety
"U2 FGD booster fan hydraulic oil package was put in service, whilst carrying out start up checks it was discovered that there was an oil leak from the hydraulic filter housing
 
Most oil contained in tanks bund, small amount of oil sprayed out over the roadway but did not contaminate any drains. Spill dry put down on leaked oil",Process Safety,Operational Loss - U2 FGD booster fan hydraulic oil package,Non-Process Safety
"U1 received a schedule 7 to sync at 21:20hrs 15/07/19, the Unit was 24 minutes late due to the valve gear not changing over at >2700. Boiler pressure was increased to >80bar with no effect. 
Machine speed was reduced and valve gear changed over. Machine was run up and synchronised",Process Safety,Operational loss (not process safety),Non-Process Safety
"Unit operations staff were unaware that the there had been a PN entered for CDC to Sync to the Grid at 16.00. Operations team had been told that the Unit was standing in the BM all day and had not had any communication with the Uniper trading team. There was also no display to indicate the sync time on the GPMS screen.
Whilst carrying out other duties the operations team noticed that the GPMS display was displaying a sync time. Contact was immediately made with the Uniper trading team who confirmed that the PN was indeed correct. They also stated that the PN had been entered the previous day. 
Trading team informed of the error and told that the unit would be one hour late. The unit eventually synced to the Grid at 16.55 (55 minutes) late. 
After several attempts the operations team managed to reboot the GPMS browser and the problems were reported to the Siemens team.
Reference number 13205280 obtained and emails sent to the relevant parties. Neil Griffin form Siemens contacted site later and discussed the issues. However he was unable to dial in so will investigate further when connection obtained.",Process Safety,Unit late Sync.,Non-Process Safety
vuurverschijnselen B1 veld agv broei,Process Safety,vuurverschijnselen B1 veld agv broei,Non-Process Safety
Failure of Ammonia plant ‘Line of Site’ instruments,Process Safety,PSNH - Failure of Ammonia plant ‘Line of Site’ instruments,Process Safety
"U4 FGD tripped due to bypass damper diff pressure, blades would not operate due to MOOG unit sticking.",Process Safety,Operational Loss (non-process safety),Non-Process Safety
Unit was due to sync at 17.00 after recent feed pump repairs. Feed pump work complete and 15.00 instead of 12.00 as originally planned. Isolations removed and boiler filling commenced. Boiler did not fill in time and therefore the unit was 34mins late.,Process Safety,Unit late Sync following MBFP Alignment,Non-Process Safety
"Nach Inbetriebnahme der Kohlefeuerung auf der Ebene 30 kam es zum Ansprechen eines Feuer/Rauchmelders auf der Brennerebene 30. Grund hierfuer war eine Kohlestaubundichtigkeit am Brenner 35. Die Richtigkeit des Ansprechens von Feuer/Rauchmelder wurde durch auf Ebene 30 durchgefuehrte Sichtkontrollen bestaetigt. Unmittelbar nach dem Feststellen der Kohlestaubleckage kam es zur Entzuendung dieses Staub-Luftgemisches.
Es entstanden kleinere Stichflammen und es bildeten sich vereinzelnd kleinere Glutnester in der Isolierwolle.",Process Safety,Kohlestaubaustritt am Brenner 35 mit Flammenbildung,Non-Process Safety
"Doordat hout in de pyrietafvoertank voor kolen is gekomen is er in de tank brand ontstaan, met CO en zwavel emissive door het gehele ketelhuis en bedieningsgebouw.",Process Safety,houtbrand in kolen pyriettank,Non-Process Safety
"CoCom is currently being commissioned (co-firing of woodpellets into MPP3). Planned for project handover from 1st of January 2020. On 29th of November due to Adicos alarm (smouldering detection) there was a switch over to coal. After investigation it was concluded that batch of pellets (Ricarda) must have been more reactive than earlier batches, which triggered the sensitive settings of Adicos. The Adicos detection limits were set from ‘open air mode’ (which makes the settings more sensitive). They are now correctly set by Adicos to ‘silo’ setting (robust, since its a silo). Inerting with N2 of silo set until fully emptied. 2/12 Inspection of (empty) Silo to ensure no smouldering wood pellets were left behind.",Process Safety,Smouldering detected (Adicos Alarm) in both Woodpellet Silo's due to sensitive settings of Adicos (and reactive Woodpellets).,Non-Process Safety
On 17th November’20 at morning around 1030 hrs. The Field operator during his rounds at CPU-1 noticed sea water leaking through the ½” drain valve of the HE 004 heat exchanger CPU 01 (which is recently installed by Altrad). Field operator immediately informed at the CCR and Sea water inlet and outlet isolated immediately.  Field operator informed this incident to maintenance manager and mechanical technician. Technician put a ½” MS plug on the HE 004 drain hole after that Sea water inlet and outlet line up commenced.  During the initial inspection the drain valve piece was checked and found that there was heavy corrosion on the internal base of the barrel nipple,Process Safety,The Field operator during his rounds at CPU-1 noticed sea water leaking through the ½” drain valve of the HE 004 heat exchanger CPU 01.,Non-Process Safety
OElundichte an Druckmessung HK 3 Brenner 31 nach Austausch der Messung (HEL-Druck),Process Safety,OElundichte an Druckmessung HK 3 Brenner 31,Non-Process Safety
Operational loss - Materials handing dusting issues following return to service of units which have not run for extended periods,Process Safety,Operational loss - Materials handing dusting issues following return to service of units which have not run for extended periods,Non-Process Safety
"02:15 Plant loading up from 3356MW BOA to 410MW PN
02:50 Prior to the event there was a rise in 18MAD20CY022 to 172um (which also happened on Sunday when there was a similar IP CV issue). This dropped right off once the plant load was stable
02:50 ST sequencer alarms received.
02:57 IP CV north started to open and close erratically.
Local observations were unable to prove that the valve was physically moving, however:
the IP drum level started to rise, 
the LP system pressure increased to alarm value, 
the plant load had become unstable,  
the IP CV south started to move in response to the IP CV norths position,
18MAB10CP001 pressure of steam IP inlet was unstable,
LP by-pass opening and LP drum level falling,
The Vickers card panel was displaying a intermittent flashing red light,
Decided to drop load to 230MW to stabilise the plant and avoid possible trip.

03:26 Called Trading to REMIT MEL down to 230MW until 06:00
03:29 Called CH
03:48 Plant at 230MW and stable - Both IP CV's open at 100% and IP and LP by-passes closed.
03:56 Called Trading to REMIT MEL to 230MW until 12:00.",Process Safety,IP CV North loss of control,Non-Process Safety
"U4 The MEL had to be reduced due to having only 5 mills available for service, ‘F’ Mill unavailable due to mill motor vibrations. ‘A’ Mill unavailable due to Coal Feeder accumulator low pressure, diagnosed the previous day. When ‘G’ Mill was being entered to service, the classifier tripped after 2 mins due to Classifier diff pressure switch not operating correctly, this was entered into the SAP system as a P1 notification and was repaired by the C&I team and the MEL increased back to 500Mw at 12:00hrs.",Process Safety,Operational loss - U4 The MEL had to be reduced due to having only 5 mills available for service,Non-Process Safety
"De luchtdruk in het systeem is is te laag geweest waardoor de installatie is afgegaan, dit is waarschijnlijk gekomen door schommelingen in het water cq luchtnet. ( ketel spoelen).",Process Safety,Afgaan van de  blusinstallatie,Non-Process Safety
Pipe breakage in basement of WSG substation Rotterdam. Pipe is 50% torn right above the heat-affected zone. Breakage caused leakage in basement.,Process Safety,Pipe breakage WSG Rotterdam,Non-Process Safety
"Im Verlauf des Anlagenstarts in den Turbinenbetrieb am 11.03.2019 kam es zu einem kurzzeitigen Ansprechen des automatischen Gasmelders am HD-Gasregelgestell. Im Rahmen der umgehend eingeleiteten Ursachenklaerung vor Ort konnte jedoch keine Gasleckage geortet werden.
Daraufhin erfolgte die erweiterte Lecksuche im Zusammenhang mit einem planmaessigen Probelauf. Hierbei wurde dann eine geringfuegige Gasleckage im Bereich eines Rohrbogens am Rohrausbaustueck des HD-Gasregelgestells festgestellt. Das betroffene Leitungsstueck wurde ausgebaut, instandgesetzt und am 13.03.2019 remontiert.
Schaeden fuer Menschen, Umwelt oder Eigentum waren nicht zu verzeichnen. Jedoch waren Instandsetzungsarbeiten zur Schadensbehebung erforderlich.
Auch ein Potential, um Menschen, Umwelt oder Eigentum zu schaedigen war nicht gegeben, weil die Stoerung „Gasleckage“ durch die Auslegung des Melde- und Schutzsystem beruecksichtigt ist und bei Gasaustritt in gefaehrlicher Menge zu einer automatischen Schutzabschaltung der laufenden Kraftwerksanlage fuehrt.",Process Safety,Geringfuegige Gasleckage am Gasregelgestell der Hochdruck-Gasturbine Huntorf,Non-Process Safety
